Data,NomeDia,TCC Faturamento Realizado,TCC Faturamento Projetado Power BI
2019-01-03 00:00:00,QUINTA-FEIRA,R$ 11244,R$ 116193
2019-01-04 00:00:00,SEXTA-FEIRA,R$ 11887,R$ 179265
2019-01-05 00:00:00,SÁBADO,R$ 2114,R$ 156516
2019-01-06 00:00:00,DOMINGO,,R$ 130430
2019-01-07 00:00:00,SEGUNDA-FEIRA,R$ 889,R$ 115734
2019-01-08 00:00:00,TERÇA-FEIRA,R$ 2278,R$ 110093
2019-01-09 00:00:00,QUARTA-FEIRA,R$ 6111,R$ 118909
2019-01-10 00:00:00,QUINTA-FEIRA,R$ 1107,R$ 110448
2019-01-11 00:00:00,SEXTA-FEIRA,R$ 11959,R$ 134109
2019-01-12 00:00:00,SÁBADO,R$ 1021,R$ 125571
2019-01-13 00:00:00,DOMINGO,,R$ 115911
2019-01-14 00:00:00,SEGUNDA-FEIRA,R$ 911,R$ 109649
2019-01-15 00:00:00,TERÇA-FEIRA,R$ 2401,R$ 107301
2019-01-16 00:00:00,QUARTA-FEIRA,R$ 10782,R$ 121485
2019-01-17 00:00:00,QUINTA-FEIRA,R$ 11793,R$ 135844
2019-01-18 00:00:00,SEXTA-FEIRA,R$ 5644,R$ 138018
2019-01-19 00:00:00,SÁBADO,R$ 1181,R$ 132681
2019-01-20 00:00:00,DOMINGO,,R$ 126047
2019-01-21 00:00:00,SEGUNDA-FEIRA,,R$ 120044
2019-01-22 00:00:00,TERÇA-FEIRA,R$ 3951,R$ 120155
2019-01-23 00:00:00,QUARTA-FEIRA,R$ 9666,R$ 127959
2019-01-24 00:00:00,QUINTA-FEIRA,R$ 248,R$ 122948
2019-01-25 00:00:00,SEXTA-FEIRA,R$ 3468,R$ 122330
2019-01-26 00:00:00,SÁBADO,R$ 0,R$ 117625
2019-01-27 00:00:00,DOMINGO,,R$ 113269
2019-01-28 00:00:00,SEGUNDA-FEIRA,R$ 1715,R$ 111122
2019-01-29 00:00:00,TERÇA-FEIRA,R$ 8092,R$ 115940
2019-01-30 00:00:00,QUARTA-FEIRA,R$ 3482,R$ 115674
2019-01-31 00:00:00,QUINTA-FEIRA,R$ 3260,R$ 115202
2019-02-01 00:00:00,SEXTA-FEIRA,R$ 8729,R$ 244419
2019-02-02 00:00:00,SÁBADO,,R$ 122210
2019-02-03 00:00:00,DOMINGO,,R$ 81473
2019-02-04 00:00:00,SEGUNDA-FEIRA,R$ 2948,R$ 81741
2019-02-05 00:00:00,TERÇA-FEIRA,R$ 1359,R$ 73003
2019-02-06 00:00:00,QUARTA-FEIRA,R$ 3573,R$ 77508
2019-02-07 00:00:00,QUINTA-FEIRA,R$ 6898,R$ 94029
2019-02-08 00:00:00,SEXTA-FEIRA,R$ 7618,R$ 108937
2019-02-09 00:00:00,SÁBADO,R$ 1070,R$ 100162
2019-02-10 00:00:00,DOMINGO,,R$ 90145
2019-02-11 00:00:00,SEGUNDA-FEIRA,R$ 6189,R$ 97704
2019-02-12 00:00:00,TERÇA-FEIRA,R$ 201,R$ 90031
2019-02-13 00:00:00,QUARTA-FEIRA,R$ 2486,R$ 88460
2019-02-14 00:00:00,QUINTA-FEIRA,R$ 6162,R$ 94466
2019-02-15 00:00:00,SEXTA-FEIRA,R$ 11212,R$ 109096
2019-02-16 00:00:00,SÁBADO,R$ 742,R$ 103576
2019-02-17 00:00:00,DOMINGO,,R$ 97483
2019-02-18 00:00:00,SEGUNDA-FEIRA,R$ 2370,R$ 95754
2019-02-19 00:00:00,TERÇA-FEIRA,R$ 712,R$ 91764
2019-02-20 00:00:00,QUARTA-FEIRA,R$ 6748,R$ 96622
2019-02-21 00:00:00,QUINTA-FEIRA,R$ 3450,R$ 96622
2019-02-22 00:00:00,SEXTA-FEIRA,R$ 9057,R$ 103757
2019-02-23 00:00:00,SÁBADO,R$ 3176,R$ 103112
2019-02-24 00:00:00,DOMINGO,,R$ 98816
2019-02-25 00:00:00,SEGUNDA-FEIRA,R$ 675,R$ 95619
2019-02-26 00:00:00,TERÇA-FEIRA,R$ 70,R$ 92017
2019-02-27 00:00:00,QUARTA-FEIRA,R$ 12866,R$ 101951
2019-02-28 00:00:00,QUINTA-FEIRA,R$ 2759,R$ 101069
2019-03-01 00:00:00,SEXTA-FEIRA,R$ 3592,R$ 111337
2019-03-02 00:00:00,SÁBADO,R$ 259,R$ 59683
2019-03-03 00:00:00,DOMINGO,,R$ 39789
2019-03-04 00:00:00,SEGUNDA-FEIRA,,R$ 29841
2019-03-05 00:00:00,TERÇA-FEIRA,,R$ 23873
2019-03-06 00:00:00,QUARTA-FEIRA,R$ 5018,R$ 45818
2019-03-07 00:00:00,QUINTA-FEIRA,R$ 4141,R$ 57611
2019-03-08 00:00:00,SEXTA-FEIRA,R$ 11019,R$ 93108
2019-03-09 00:00:00,SÁBADO,R$ 297,R$ 83786
2019-03-10 00:00:00,DOMINGO,,R$ 75407
2019-03-11 00:00:00,SEGUNDA-FEIRA,R$ 617,R$ 70291
2019-03-12 00:00:00,TERÇA-FEIRA,R$ 886,R$ 66722
2019-03-13 00:00:00,QUARTA-FEIRA,R$ 4347,R$ 71956
2019-03-14 00:00:00,QUINTA-FEIRA,R$ 4798,R$ 77441
2019-03-15 00:00:00,SEXTA-FEIRA,R$ 15146,R$ 103580
2019-03-16 00:00:00,SÁBADO,R$ 920,R$ 98889
2019-03-17 00:00:00,DOMINGO,,R$ 93072
2019-03-18 00:00:00,SEGUNDA-FEIRA,R$ 367,R$ 88533
2019-03-19 00:00:00,TERÇA-FEIRA,R$ 1306,R$ 86004
2019-03-20 00:00:00,QUARTA-FEIRA,R$ 5217,R$ 89790
2019-03-21 00:00:00,QUINTA-FEIRA,R$ 3961,R$ 91363
2019-03-22 00:00:00,SEXTA-FEIRA,R$ 7266,R$ 97449
2019-03-23 00:00:00,SÁBADO,R$ 407,R$ 93761
2019-03-24 00:00:00,DOMINGO,,R$ 89854
2019-03-25 00:00:00,SEGUNDA-FEIRA,R$ 2203,R$ 88991
2019-03-26 00:00:00,TERÇA-FEIRA,R$ 1643,R$ 87528
2019-03-27 00:00:00,QUARTA-FEIRA,R$ 4823,R$ 89823
2019-03-28 00:00:00,QUINTA-FEIRA,R$ 1394,R$ 88158
2019-03-29 00:00:00,SEXTA-FEIRA,R$ 7390,R$ 93018
2019-03-30 00:00:00,SÁBADO,,R$ 89917
2019-03-31 00:00:00,DOMINGO,R$ 1030,R$ 88047
2019-04-01 00:00:00,SEGUNDA-FEIRA,R$ 679,R$ 20369
2019-04-02 00:00:00,TERÇA-FEIRA,R$ 1068,R$ 26205
2019-04-03 00:00:00,QUARTA-FEIRA,R$ 5175,R$ 69215
2019-04-04 00:00:00,QUINTA-FEIRA,R$ 7577,R$ 108741
2019-04-05 00:00:00,SEXTA-FEIRA,R$ 3386,R$ 107309
2019-04-06 00:00:00,SÁBADO,,R$ 89424
2019-04-07 00:00:00,DOMINGO,,R$ 76649
2019-04-08 00:00:00,SEGUNDA-FEIRA,R$ 1893,R$ 74167
2019-04-09 00:00:00,TERÇA-FEIRA,R$ 1550,R$ 71093
2019-04-10 00:00:00,QUARTA-FEIRA,R$ 431,R$ 65277
2019-04-11 00:00:00,QUINTA-FEIRA,R$ 2562,R$ 66330
2019-04-12 00:00:00,SEXTA-FEIRA,R$ 9209,R$ 83825
2019-04-13 00:00:00,SÁBADO,,R$ 77377
2019-04-14 00:00:00,DOMINGO,,R$ 71850
2019-04-15 00:00:00,SEGUNDA-FEIRA,R$ 5091,R$ 77242
2019-04-16 00:00:00,TERÇA-FEIRA,R$ 964,R$ 74222
2019-04-17 00:00:00,QUARTA-FEIRA,R$ 1324,R$ 72193
2019-04-18 00:00:00,QUINTA-FEIRA,R$ 6450,R$ 78931
2019-04-19 00:00:00,SEXTA-FEIRA,,R$ 74777
2019-04-20 00:00:00,SÁBADO,R$ 243,R$ 71403
2019-04-21 00:00:00,DOMINGO,,R$ 68003
2019-04-22 00:00:00,SEGUNDA-FEIRA,R$ 397,R$ 65453
2019-04-23 00:00:00,TERÇA-FEIRA,R$ 2712,R$ 66144
2019-04-24 00:00:00,QUARTA-FEIRA,R$ 3688,R$ 67998
2019-04-25 00:00:00,QUINTA-FEIRA,R$ 3753,R$ 69782
2019-04-26 00:00:00,SEXTA-FEIRA,R$ 6347,R$ 74422
2019-04-27 00:00:00,SÁBADO,R$ 515,R$ 72237
2019-04-28 00:00:00,DOMINGO,,R$ 69658
2019-04-29 00:00:00,SEGUNDA-FEIRA,R$ 882,R$ 68168
2019-04-30 00:00:00,TERÇA-FEIRA,R$ 7068,R$ 72964
2019-05-02 00:00:00,QUINTA-FEIRA,R$ 3226,R$ 50005
2019-05-03 00:00:00,SEXTA-FEIRA,R$ 6264,R$ 98060
2019-05-04 00:00:00,SÁBADO,R$ 505,R$ 77458
2019-05-05 00:00:00,DOMINGO,,R$ 61967
2019-05-06 00:00:00,SEGUNDA-FEIRA,R$ 297,R$ 53173
2019-05-07 00:00:00,TERÇA-FEIRA,R$ 534,R$ 47942
2019-05-08 00:00:00,QUARTA-FEIRA,R$ 1853,R$ 49128
2019-05-09 00:00:00,QUINTA-FEIRA,R$ 4877,R$ 60469
2019-05-10 00:00:00,SEXTA-FEIRA,R$ 8184,R$ 79793
2019-05-11 00:00:00,SÁBADO,R$ 1106,R$ 75656
